Coluna1;Column7;Column8;Column9;Column18
HelpU;;;;helpu_install.exe, HelpuUpdater.exe, HelpuManager.exe
Koofr;;;;
AnyViewer;https://www.anyviewer.com/;AnyViewer.exe;AnyViewer;C:\Program Files (x86)\AnyViewer\*
Netop Remote Control (Impero Connect);;;;nhostsvc.exe, nhstw32.exe, ngstw32.exe, Netop Ondemand.exe, nldrw32.exe, rmserverconsolemediator.exe, ImperoInit.exe, Connect.Backdrop.cloud*.exe, ImperoClientSVC.exe
Adobe Connect;;;;ConnectAppSetup*.exe, ConnectShellSetup*.exe, Connect.exe, ConnectDetector.exe
QQ IM-remote assistance;;;;qq.exe, QQProtect.exe, qqpcmgr.exe
Sophos-Remote Management System;;;;clientmrinit.exe, mgntsvc.exe, routernt.exe
Netviewer;;;;netviewer*.exe, netviewer.exe
CruzControl;;;;
Free Tools Launcher;;;;C:\Program Files\ManageEngine\ManageEngine Free Tools\Launcher\*, *\ManageEngine\*
Centurion;;;;ctiserv.exe
Tailscale;;;;tailscale-*.exe, tailscaled.exe, tailscale-ipn.exe
Royal Apps;;;;royalserver.exe, royalts.exe
Solar-PuTTY;;;;C:\Program Files\Solar-Putty-v4\*, *\Solar-Putty-v4\*, *\Solar-PuTTY.exe
ExtraPuTTY;;;;C:\Users\*\ExtraPuTTY-0.30-2016-01-28-installer.exe, *Users\*\ExtraPuTTY-0.30-2016-01-28-installer.exe, *\ExtraPuTTY-0.30-2016-01-28-installer.exe
Alpemix;https://www.alpemix.com/en/Home;Alpemix.exe;Alpemix;C:\AlpemixService.exe, C:\AlpemixSrvc\
Tanium;;;;TaniumClient.exe, TaniumCX.exe, TaniumExecWrapper.exe, TaniumFileInfo.exe, TPowerShell.exe
PSEXEC (Clone);;;;paexec.exe, PAExec-*.exe, csexec.exe , remcom.exe, remcomsvc.exe, xcmd.exe, xcmdsvc.exe
GotoHTTP;;;;GotoHTTP_x64.exe, gotohttp.exe, GotoHTTP*.exe
Xpra;;;;C:\Program Files (x86)\Xpra\*, *\Xpra\*, *\Xpra-Launcher.exe, *\Xpra-x86_64_Setup.exe
Ericom Connect;;;;EricomConnectRemoteHost*.exe, ericomconnnectconfigurationtool.exe
DeskShare;;;;TeamTaskManager.exe, DSGuest.exe
Echoware;;;;echoserver*.exe, echoware.dll
Bitvise SSH Client;;;;C:\Program Files (x86)\Bitvise SSH Client\*, *\Bitvise SSH Client\*, *\BvSshClient-Inst.exe
Encapto;;;;
Synergy;;;;
Remobo;;;;remobo.exe, remobo_client.exe, remobo_tracker.exe
SecureCRT;;;;C:\*\SecureCRT.EXE, *\SecureCRT.EXE, *\VanDyke Software\ClientPack\*
AliWangWang-remote-control;;;;alitask.exe
NTR Remote;;;;NTRsupportPro_EN.exe
PDQ Connect;;;;pdq-connect*.exe
ngrok;;;;ngrok.exe, C:\*\ngrok.zip, *\ngrok*
OCS inventory;;;;ocsinventory.exe, ocsservice.exe
LabTeach (Connectwise Automate);;;;ltsvc.exe
Quest KACE Agent (formerly Dell KACE);;;;konea.exe
BeyondTrust;;;;
Syncro;;;;Syncro.Installer.exe, Kabuto.App.Runner.exe, Syncro.Overmind.Service.exe, Kabuto.Installer.exe, KabutoSetup.exe, Syncro.Service.exe, Kabuto.Service.Runner.exe, Syncro.App.Runner.exe, SyncroLive.Service.exe, SyncroLive.Agent.exe
WinSCP;;;;C:\Users\IEUser\Downloads\WinSCP-5.21.6-Portable\*, *\WinSCP*Portable\*, *\WinSCP.exe, *\WinSCP\*
Ivanti Remote Control;;;;IvantiRemoteControl.exe, ArcUI.exe, AgentlessRC.exe
SpyAnywhere;;;;sysdiag.exe
DesktopNow;;;;desktopnow.exe
Dev Tunnels (aka Visual Studio Dev Tunnel);;;;
rdp2tcp;;;;tdp2tcp.exe, rdp2tcp.py
Netop;;;;C:\Program Files\Danware Data\NetOp Packn Deploy\*, *\Danware Data\NetOp Packn Deploy\*, *\Netop Remote Control\*
Xeox;;;;xeox-agent_x64.exe, xeox_service_windows.exe, xeox-agent_*.exe, xeox-agent_x86.exe
Ericom AccessNow;;;;accessserver*.exe, accessserver.exe
Pocket Controller (Soti Xsight);;;;pocketcontroller.exe, wysebrowser.exe, XSightService.exe
ISL Light;;;;islalwaysonmonitor.exe, isllight.exe, isllightservice.exe
Total Software Deployment;;;;C:\ProgramData\Total Software Deployment\*, *\Total Software Deployment\*, *\tniwinagent.exe, *\Tsdservice.exe
Barracuda;;;;
rdpwrap;;;;RDPWInst.exe, RDPCheck.exe, RDPConf.exe
LogMeIn;https://www.logmein.com/;lmiguardiansvc.exe;;None
Zoho Assist;;;;zaservice.exe, ZMAgent.exe, C:\*\ZA_Access.exe, ZohoMeeting.exe, Zohours.exe, zohotray.exe, ZohoURSService.exe, *\ZA_Access.exe, Zaservice.exe, za_connect.exe, connect.exe
UltraVNC;;;;UltraVNC*.exe
Onionshare;;;;C:\Program Files (x86)\OnionShare\*, *\OnionShare\*, *\onionshare*.exe, OnionShare-win*.msi
ISL Online;;;;islalwaysonmonitor.exe, isllight.exe, isllightservice.exe, ISLLightClient.exe, C:\Program Files (x86)\ISL Online\ISL Light*, *\ISL Online\ISL Light*, *\ISLLight.exe
Connectwise Automate (LabTech);;;;ltsvc.exe, ltsvcmon.exe, lttray.exe
BeAnyWhere;;;;basuptshelper.exe, basupsrvcupdate.exe, BASupApp.exe, BASupSysInf.exe, BASupAppSrvc.exe, TakeControl.exe, BASupAppElev.exe, basupsrvc.exe
Splashtop;;;;C:\Program Files (x86)\Splashtop\*, *\Splashtop\Splashtop Remote\Client for RMM\*, strwinclt.exe
mstsc;;;;C:\Windows\System32\mstsc.exe, *Windows\System32\mstsc.exe
SysAid;;;;C:\Program Files\SysAidServer\*, *\SysAidServer\*, *\SysAid\*, *\IliAS.exe
Remote.it;;;;remote-it-installer.exe, remote.it.exe, remoteit.exe
Aspia;https://aspia.org/;aspia_client.exe;aspia_client.exe;*\aspia_client.exe, C:\Program Files\Aspia\, C:\Program Files (x86)\Aspia\
AeroAdmin;;;;aeroadmin.exe, AeroAdmin.exe
ShowMyPC;;;;SMPCSetup.exe, showmypc*.exe, showmypc.exe, smpcsetup.exe
LiteManager;;;;lmnoipserver.exe, ROMFUSClient.exe, romfusclient.exe, romviewer.exe, romserver.exe, ROMServer.exe
PuTTY;;;;*\putty.exe
Level.io;;;;level-windows-amd64.exe, level.exe, level-remote-control-ffmpeg.exe
Apple Remote Desktop;;;;ARDAgent.app
ESET Remote Administrator;;;;era.exe, einstaller.exe, ezhelp*.exe, eratool.exe, ERAAgent.exe
Jump Desktop;;;;jumpclient.exe, jumpdesktop.exe, jumpservice.exe, jumpconnect.exe, jumpupdater.exe
BeamYourScreen;;;;beamyourscreen.exe, beamyourscreen-host.exe
SmarTTY;;;;c:\Program Files (x86)\Sysprogs\SmarTTY\*, *\Sysprogs\SmarTTY\*, *\SmarTTY.exe
MioNet (WD Anywhere Access);;;;mionet.exe, mionetmanager.exe
TeleDesktop;;;;pstlaunch.exe, ptdskclient.exe, ptdskhost.exe
Splashtop Remote;;;;strwinclt.exe, Splashtop_Streamer_Windows*.exe, SplashtopSOS.exe, sragent.exe, srmanager.exe, srserver.exe, srservice.exe
RustDesk;https://rustdesk.com/;;;rustdesk*.exe, rustdesk.exe, C:\Users\*\AppData\Local\rustdesk\rustdesk.exe, C:\Users\*\AppData\Local\rustdesk\*, C:\Program Files\RustDesk
DeskNets;;;;
NinjaOne (formerly NinjaRMM);;;;*ProgramData\NinjaRMMAgent\*
RES Automation Manager;;;;wisshell*.exe, wmc.exe, wmc_deployer.exe, wmcsvc.exe
BeInSync;;;;Beinsync*.exe
Tanium Deploy;;;;
Bluetrait;https://bluetrait.io/;Bluetrait MSP Agent.exe;Bluetrait MSP Agent.exe;C:\Program Files (x86)\Bluetrait Agent\*
CentraStage (Now Datto);;;;CagService.exe, AEMAgent.exe
N-Able Advanced Monitoring Agent;;;;Agent_*_RW.exe, BASEClient.exe, BASupApp.exe, BASupSrvc.exe, BASupSrvcCnfg.exe, BASupTSHelper.exe
Pcnow;;;;mwcliun.exe, pcnmgr.exe, webexpcnow.exe
SunLogin;;;;OrayRemoteShell.exe, OrayRemoteService.exe, sunlogin*.exe
DameWare;;;;SolarWinds-Dameware-DRS*.exe, DameWare Mini Remote Control*.exe, C:\Windows\dwrcs\*, C:\Program Files\SolarWinds\Dameware Mini Remote Control\*, dntus*.exe, dwrcs.exe, *\dwrcs\*, *\dwrcst.exe, DameWare Remote Support.exe, SolarWinds-Dameware-MRC*.exe
LANDesk;;;;issuser.exe, landeskagentbootstrap.exe, LANDeskPortalManager.exe, ldinv32.exe, ldsensors.exe, C:\Program Files (x86)\LANDesk\*, *\LANDesk\*, *\issuser.exe, *\softmon.exe, *\tmcsvc.exe
OptiTune;;;;OTService.exe, OTPowerShell.exe
GoToAssist;;;;gotoassist.exe, g2a*.exe, GoTo Assist Opener.exe, g2mcomm.exe, g2mupdate.com, goto opener.exe, g2ax_comm_customer.exe
NoteOn-desktop sharing;;;;nateon*.exe, nateon.exe, nateonmain.exe
MobaXterm;;;;C:\*\MobaXterm_installer_12.1.msi, *\MobaXterm_installer_*.msi, *\Mobatek\MobaXterm\*
ezHelp;;;;ezhelpclientmanager.exe, ezHelpManager.exe, ezhelpclient.exe
ConnectWise Control;;;;connectwisechat-customer.exe, connectwisecontrol.client.exe, screenconnect.windowsclient.exe
RemoteUtilities;;;;rutview.exe, *\Remote Manipulator System - Server\*, C:\Program Files\Remote Utilities\*, *\Remote Utilities\*, rutserv.exe, *\rutserv.exe
Jump Cloud;;;;JumpCloud*.exe 
X2Go;;;;
NetLock RMM;https://www.netlockrmm.com/;;;NetLock_RMM_Agent_Installer.exe, NetLock_RMM_Agent_Installer, /var/0x101_Cyber_Security/*, /Library/Application Support/0x101_Cyber_Security/*, /usr/local/bin/0x101_Cyber_Security/Netlock_RMM/*, /usr/0x101_Cyber_Security/Netlock_RMM/*, C:\ProgramData\0x101 Cyber Security\NetLock RMM\Comm Agent\*, C:\Program Files\0x101 Cyber Security\NetLock RMM\UserAgent\NetLock_RMM_User_Process.exe, C:\Program Files\0x101 Cyber Security\NetLock RMM\UserAgent\NetLock_RMM_User_UAC.exe
Pulseway;;;;PCMonitorManager.exe, pcmonitorsrv.exe
Panorama9;;;;p9agent*.exe
Chrome Remote Desktop;;;;remote_host.exe, remoting_host.exe, C:\Program Files (x86)\Google\Chrome Remote Desktop\*, *\Google\Chrome Remote Desktop\*, *\remoting_host.exe
WebRDP;;;;webrdp.exe
PSEXEC;;;;psexec.exe, psexecsvc.exe
Insync;;;;C:\Users\USERNAME\AppData\Roaming\Insync\App\Insync.exe, *Users\*\AppData\Roaming\Insync\App\Insync.exe, *\Insync.exe
GoToMyPC;;AppCore.exe;;C:\Program Files (x86)\GoToMyPC\*
SuperPuTTY;;;;C:\Downloads\SuperPuTTY\*, *Downloads\SuperPuTTY\*, *\superputty.exe, *\SuperPuTTY\*
ToDesk;;;;todesk.exe, ToDesk_Service.exe, ToDesk_Setup.exe
Remote Utilities;;;;rutview.exe, rutserv.exe
FreeRDP;;;;
Pcvisit;;;;pcvisit.exe, pcvisit_client.exe, pcvisit-easysupport.exe, pcvisit_service_client.exe
Acronis Cyber Protect (Remotix);;;;AcronisCyberProtectConnectQuickAssist*.exe, AcronisCyberProtectConnectAgent.exe
RemotePass;;;;remotepass-access.exe, rpaccess.exe, rpwhostscr.exe
FastViewer;;;;fastclient.exe, fastmaster.exe, FastViewer.exe
Microsoft TSC;;;;termsrv.exe, mstsc.exe
Lite Manager;;;;C:\Program Files\LiteManager Pro – Viewer\*, *\LiteManager Pro – Viewer\*, *\LMNoIpServer.exe
Mocha VNC Lite;;;;This installs a modified VNC and cannot be blocked by path separate from VNC, This installs a modified VNC and cannot be blocked by path separate from VNC, *\RealVNC\VNC4\*
WebEx (Remote Access);;;;
Anyplace Control;;;;apc_host.exe
Site24x7;;;;MEAgentHelper.exe, MonitoringAgent.exe, Site24x7WindowsAgentTrayIcon.exe, Site24x7PluginAgent.exe
Seetrol;;;;seetrolcenter.exe, seetrolclient.exe, seetrolmyservice.exe, seetrolremote.exe, seetrolsetting.exe
Distant Desktop;;;;ddsystem.exe, dd.exe, distant-desktop.exe
Duplicati;;;;c:\Program Files\*\Duplicati.Server.exe, *\*\Duplicati.Server.exe
Mikogo;;;;mikogo.exe, mikogo-starter.exe, mikogo-service.exe, mikogolauncher.exe, C:\Users\*\AppData\Roaming\Mikogo\*, *Users\*\AppData\Roaming\Mikogo\*, *\Mikogo-Service.exe, *\Mikogo-Screen-Service.exe
N-ABLE Remote Access Software;;;;
VNC Connect;;;;C:\Program Files\RealVNC\VNC Server\*, *\RealVNC\VNC Server\*
Atera;https://www.atera.com/;AteraAgent.exe;AteraAgent.exe;*\AgentPackageNetworkDiscovery.exe, *\AgentPackageTaskScheduler.exe, *\ATERA Networks\AteraAgent\*, *\AteraAgent.exe, atera_agent.exe, atera_agent.exe, ateraagent.exe, C:\Program Files\ATERA Networks\AteraAgent\*, C:\Program Files\Atera Networks, C:\Program Files (x86)\Atera Networks, syncrosetup.exe
CrossTec Remote Control;;;;PCIVIDEO.EXE, supporttool.exe
FixMe.it;;;;FixMeit Client.exe, TiExpertStandalone.exe, FixMeitClient*.exe, TiExpertCore.exe, FixMeit Unattended Access Setup.exe, FixMeit Expert Setup.exe, TiExpertCore.exe, fixmeitclient.exe, TiClientCore.exe, TiClientHelper*.exe, 9380CC75B872221A7425D7503565B67580407F60
Level.io;;;;level-windows-amd64.exe, level.exe, level-remote-control-ffmpeg.exe
Absolute (Computrace);;;;rpcnet.exe, ctes.exe, ctespersitence.exe, cteshostsvc.exe, rpcld.exe
Access Remote PC;https://www.remotedesktop.com/;;;C:\Program Files (x86)\RemotePC\*
GoTo Opener;;;;C:\Program Files (x86)\GoTo Opener, *\GoTo Opener
NetSupport Manager;;;;pcictlui.exe, client32.exe, pcicfgui.exe
ZOC;;;;C:\Program Files\ZOC8\*, *\ZOC?\*, *\zoc.exe
RunSmart;;;;
